id;abbreviation;ekatte_num;name
442;DOB27-08;17590;Градница
443;DOB27-09;18191;Гуслар
444;DOB27-10;29035;Жегларци
370;DOB15-05;03860;Бенковски
371;DOB15-06;04580;Богдан
372;DOB15-07;05061;Божурово
373;DOB15-08;06104;Бранище
414;DOB17-01;03318;Белгун
415;DOB17-04;07257;Българево
423;DOB20-01;00031;Абрит
445;DOB27-11;31396;Зърнево
446;DOB27-12;35050;Каблешково
447;DOB27-13;37157;Кладенци
448;DOB27-14;38025;Коларци
449;DOB27-15;39127;Кочмар
450;DOB27-17;51812;Нова Камена
451;DOB27-19;53953;Орляк
452;DOB27-20;57265;Полковник Савово
453;DOB27-21;57563;Попгруево
454;DOB27-22;70617;Сърнец
455;DOB27-23;81270;Честименско
456;DOB29-02;10032;Ваклино
457;DOB29-05;17782;Граничар
458;DOB29-06;24102;Дуранкулак
459;DOB29-09;39493;Крапец
460;GAB05-04;12168;Враниловци
461;GAB05-05;14814;Гергини
462;GAB05-07;18215;Гъбене
463;GAB05-09;22959;Донино
464;GAB05-10;23159;Драгановци
465;GAB05-12;29547;Жълтеш
466;GAB05-21;49299;Музга
467;GAB05-22;51843;Новаковци
468;GAB05-23;57675;Поповци
469;GAB05-27;81904;Чарково
470;GAB05-28;87120;Яворец
471;GAB12-02;12677;Царева ливада
472;GAB12-03;14458;Ганчовец
473;GAB12-04;17350;Гостилица
474;GAB12-10;61529;Радовци
479;GAB29-07;16376;Горна Росица
480;GAB29-08;17542;Градище
481;GAB29-09;17587;Градница
482;GAB29-10;20119;Дамяново
483;GAB29-11;21628;Добромирка
484;GAB29-12;24178;Душево
485;GAB29-13;32336;Идилево
486;GAB29-15;38652;Кормянско
487;GAB29-16;39431;Крамолин
488;GAB29-17;40141;Крушево
489;GAB29-18;40275;Кръвеник
490;GAB29-19;43966;Ловнидол
491;GAB29-20;46509;Малки Вършец
492;GAB29-21;48670;Младен
493;GAB29-23;56037;Петко Славейков
494;GAB29-24;63673;Ряховците
495;GAB29-25;66216;Сенник
496;GAB29-26;69417;Стоките
497;GAB29-27;69451;Столът
498;GAB29-31;77253;Хирево
499;GAB29-32;83497;Шумата
501;GAB35-04;56719;Плачковци
505;HKV09-05;11644;Воден
506;HKV09-06;15792;Голямо Асеново
507;HKV09-07;17141;Горски извор
508;HKV09-08;21258;Длъгнево
